modulation,users,tx_dbm,ml_errors,sic_errors,bits_tested,ml_ber,sic_ber,frames,seed,noise_dbm
BPSK,10,-20,4679,4681,10000,0.46790000,0.46810000,1000,2024,-60
BPSK,10,-10,4315,4286,10000,0.43150000,0.42860000,1000,2024,-60
BPSK,10,0,3810,3782,10000,0.38100000,0.37820000,1000,2024,-60
BPSK,10,10,3110,3356,10000,0.31100000,0.33560000,1000,2024,-60
BPSK,10,20,2087,2981,10000,0.20870000,0.29810000,1000,2024,-60
BPSK,10,30,569,2936,10000,0.05690000,0.29360000,1000,2024,-60
QPSK,5,-20,4748,4742,10000,0.47480000,0.47420000,1000,2025,-60
QPSK,5,-10,4366,4311,10000,0.43660000,0.43110000,1000,2025,-60
QPSK,5,0,3729,3679,10000,0.37290000,0.36790000,1000,2025,-60
QPSK,5,10,3151,3092,10000,0.31510000,0.30920000,1000,2025,-60
QPSK,5,20,2177,2666,10000,0.21770000,0.26660000,1000,2025,-60
QPSK,5,30,694,2361,10000,0.06940000,0.23610000,1000,2025,-60
16QAM,3,-20,5917,5912,12000,0.49308333,0.49266667,1000,2026,-60
16QAM,3,-10,5457,5450,12000,0.45475000,0.45416667,1000,2026,-60
16QAM,3,0,4929,4919,12000,0.41075000,0.40991667,1000,2026,-60
16QAM,3,10,4220,4174,12000,0.35166667,0.34783333,1000,2026,-60
16QAM,3,20,3606,3618,12000,0.30050000,0.30150000,1000,2026,-60
16QAM,3,30,2478,3116,12000,0.20650000,0.25966667,1000,2026,-60
64QAM,2,-20,5898,5903,12000,0.49150000,0.49191667,1000,2027,-60
64QAM,2,-10,5548,5570,12000,0.46233333,0.46416667,1000,2027,-60
64QAM,2,0,5059,5096,12000,0.42158333,0.42466667,1000,2027,-60
64QAM,2,10,4214,4172,12000,0.35116667,0.34766667,1000,2027,-60
64QAM,2,20,3211,3231,12000,0.26758333,0.26925000,1000,2027,-60
64QAM,2,30,2309,2279,12000,0.19241667,0.18991667,1000,2027,-60
